geometry_id,hit_id,channel0,channel1,timestamp,value,cluster_id,is_seed
936748997371232512,36442,162,1,0,0.245285586,7,1
936748997371232512,36442,162,2,0,0.311098397,7,1
936748997371232512,36443,541,49,0,0.494233251,18,1
936748997371232512,36443,541,50,0,0.124635614,18,1
936748997371232768,36444,39,37,0,0.619926274,566,1
936748997371233536,36445,312,22,0,0.276984245,7,1
936748997371233536,36445,313,22,0,0.0207507461,7,1
936748997371233536,36445,313,23,0,0.315705121,7,1
936748997371233792,36446,196,35,0,0.229735002,26,1
936748997371233792,36446,195,35,0,0.336422294,26,1
936748997371234048,36447,391,87,0,0.588944852,421,0
936748997371234304,36448,291,1,0,0.072312519,7,1
936748997371234304,36448,292,1,0,0.507000804,7,1
936748997371234304,36448,293,1,0,0.0433636941,7,1
936748997371234304,36449,519,44,0,0.293388844,36,1
936748997371234304,36449,519,45,0,0.28617534,36,1
936748997371234304,36450,396,57,0,0.0167791564,205,1
936748997371234304,36450,395,57,0,0.516571581,205,1
936748997371234560,36451,16,33,0,0.214514658,535,0
936748997371234560,36451,15,33,0,0.206668124,535,0
936748997371234560,36451,15,34,0,0.156963155,535,1
936748997371234816,36452,404,84,0,0.361867666,24,1
936748997371234816,36452,404,85,0,0.0694358796,24,1
936748997371234816,36452,403,85,0,0.197002694,24,1
936748997371235584,36453,98,19,0,0.0100258961,7,1
936748997371235584,36453,99,19,0,0.563476503,7,1
936748997371235584,36453,100,19,0,0.0679751709,7,1
936748997371235584,36454,151,43,0,0.0729271844,75,1
936748997371235584,36454,151,44,0,0.538601398,75,1
936748997371236096,36455,400,59,0,0.279811531,205,1
936748997371236096,36455,400,60,0,0.294258326,205,1
936748997371236096,36455,401,60,0,0.0479630455,205,1
936748997371236096,36456,589,24,0,0.123632841,657,1
936748997371236096,36456,590,24,0,0.0156042892,657,1
936748997371236096,36456,590,25,0,0.412380308,657,1
936748997371236352,36457,378,86,0,0.655829787,64,1
936748997371236352,36458,88,13,0,0.550098538,7,1
936748997371236864,36459,486,85,0,0.551361501,99,1
936748997371236864,36460,560,80,0,0.018845275,189,1
936748997371236864,36460,561,80,0,0.323148847,189,1
936748997371236864,36460,561,81,0,0.23291336,189,1
936748997371236864,36460,562,81,0,0.0933069065,189,1
936748997371236864,36461,263,24,0,0.631385863,-1,0
936748997371236864,36462,45,76,0,0.0913978443,268,1
936748997371236864,36462,46,76,0,0.310785174,268,1
936748997371236864,36462,46,77,0,0.0686856508,268,1
