geometry_id,hit_id,channel0,channel1,timestamp,value,cluster_id,is_seed
864691265894088960,30898,103,26,0,0.0309722144,0,1
864691265894088960,30899,363,45,0,0.0285655446,1,1
864691265894088960,30900,377,129,0,0.0203004554,2,1
864691265894088960,30901,553,86,0,0.00619180175,3,1
864691265894088960,30901,553,85,0,0.0192907825,3,1
864691265894088960,30902,51,110,0,0.0224649198,-1,0
864691265894089216,30903,303,105,0,0.0232801903,4,1
864691265894089216,30904,211,104,0,0.0234367382,5,1
864691265894089216,30904,210,104,0,0.00137517916,5,1
864691265894089216,30905,171,79,0,0.0268879477,-1,0
864691265894089216,30906,255,127,0,0.0213857368,308,0
864691265894089216,30907,107,123,0,0.0218051709,-1,0
864691265894089216,30908,435,109,0,0.0224465597,-1,0
864691265894089472,30909,369,110,0,0.0242035463,-1,0
864691265894089472,30910,210,16,0,0.0338412561,6,1
864691265894089472,30911,467,123,0,0.0218445901,7,1
864691265894089728,30912,144,71,0,0.0267602373,302,0
864691265894089728,30913,79,30,0,0.0398511961,8,1
864691265894089728,30914,502,75,0,0.0261864327,293,0
864691265894089728,30915,206,92,0,0.0200324114,9,0
864691265894089728,30915,206,91,0,0.00499417866,9,1
864691265894089728,30916,326,83,0,0.0266023092,10,1
864691265894089728,30917,203,129,0,0.0214215703,405,0
864691265894089984,30918,362,73,0,0.0268323999,11,1
864691265894089984,30919,111,100,0,0.0242723748,12,1
864691265894089984,30919,111,99,0,0.00144170201,12,1
864691265894089984,30920,553,129,0,0.0214101113,-1,0
864691265894090240,30921,157,53,0,0.0293544438,-1,0
864691265894090240,30922,472,25,0,0.00972517207,13,1
864691265894090240,30922,473,25,0,0.0230214298,13,1
864691265894090240,30923,473,27,0,0.032030981,13,1
864691265894090240,30924,510,100,0,0.0238525402,-1,0
864691265894090240,30924,511,100,0,0.00195214385,-1,0
864691265894090752,30925,424,28,0,0.0352920108,14,1
864691265894090752,30926,165,3,0,0.0396061838,13,1
864691265894090752,30927,262,78,0,0.0263770912,15,1
864691265894091008,30928,521,56,0,0.0272217784,16,1
864691265894091008,30929,475,18,0,0.0319849998,13,1
864691265894091008,30930,369,112,0,0.0223204717,-1,0
864691265894091008,30931,330,90,0,0.024777472,10,0
864691265894091264,30932,197,77,0,0.0265200213,24,0
864691265894091264,30933,139,80,0,0.0255597662,-1,0
864691265894091264,30934,245,38,0,0.029095063,17,1
864691265894091264,30935,233,116,0,0.0221973248,454,0
864691265894091264,30936,425,19,0,0.0278871953,13,1
864691265894091264,30936,424,19,0,0.00731762778,13,0
864691265894091520,30937,227,36,0,0.0307425503,18,1
864691265894091520,30938,134,6,0,0.0339369811,13,1
864691265894091520,30939,355,62,0,0.0273648612,19,1
864691265894091520,30940,275,50,0,0.0298297554,20,1
864691265894091520,30941,141,128,0,0.0207930915,21,1
864691265894091776,30942,250,85,0,0.0255762562,15,1
864691265894091776,30943,493,128,0,0.0207977779,410,0
864691265894092032,30944,205,86,0,0.0270184632,-1,0
864691265894092032,30945,278,66,0,0.0264792666,20,1
864691265894092032,30946,142,113,0,0.0217676423,22,1
864691265894092032,30947,178,19,0,0.0449735448,-1,0
864691265894092032,30948,304,77,0,0.0258572102,-1,0
864691265894092032,30949,211,92,0,0.0250837319,168,0
864691265894092288,30950,203,5,0,0.0330430083,13,1
864691265894092288,30951,97,9,0,0.0332526453,13,1
864691265894092288,30952,521,113,0,0.021773899,23,1
864691265894092288,30953,434,73,0,0.027694447,39,0
864691265894092288,30954,166,70,0,0.0272517987,24,1
864691265894092288,30955,116,91,0,0.0253027827,142,0
864691265894092288,30956,213,82,0,0.0211829282,24,1
864691265894092288,30956,214,82,0,0.00355424499,24,1
864691265894092288,30957,165,7,0,0.033143945,13,1
864691265894092544,30958,91,124,0,0.0226978641,-1,0
864691265894092544,30959,297,85,0,0.0139939142,25,1
864691265894092544,30959,296,85,0,0.0107418029,25,1
864691265894092544,30960,530,91,0,0.0253044069,-1,0
864691265894092544,30961,467,55,0,0.0279711243,26,1
864691265894092544,30962,404,68,0,0.0275177546,14,1
864691265894092800,30963,452,124,0,0.0227391254,27,1
864691265894092800,30964,332,78,0,0.0261167418,28,1
864691265894092800,30965,200,112,0,0.0227198917,-1,0
864691265894092800,30966,226,0,0,0.00125650654,13,1
864691265894092800,30966,227,0,0,0.0383896232,13,1
