geometry_id,hit_id,channel0,channel1,timestamp,value
864691265894088960,28086,263,55,0,0.0277052112
864691265894088960,28087,117,53,0,0.0272534098
864691265894088960,28088,149,57,0,0.028597381
864691265894088960,28089,373,83,0,0.0255115498
864691265894088960,28090,198,64,0,0.0279774833
864691265894088960,28091,356,83,0,0.0258291457
864691265894088960,28092,206,7,0,0.0328032486
864691265894089216,28093,394,54,0,0.0285934471
864691265894089216,28094,303,46,0,0.028887799
864691265894089216,28095,290,82,0,0.0259858239
864691265894089216,28096,306,35,0,0.0319491029
864691265894089216,28097,376,127,0,0.020997664
864691265894089216,28098,338,117,0,0.0213331934
864691265894089472,28099,403,93,0,0.00241825916
864691265894089472,28099,402,93,0,0.0209009517
864691265894089472,28100,414,77,0,0.0265658721
864691265894089472,28101,161,119,0,0.022035908
864691265894089472,28102,375,129,0,0.0206985436
864691265894089472,28103,389,16,0,0.00358777912
864691265894089472,28103,388,16,0,0.028257804
864691265894089472,28104,262,91,0,0.0239942148
864691265894089728,28105,215,29,0,0.0300605167
864691265894089728,28106,119,15,0,0.021500269
864691265894089728,28106,119,14,0,0.011233978
864691265894089728,28107,474,62,0,0.026875034
864691265894089728,28108,529,120,0,0.0220552161
864691265894089728,28109,205,71,0,0.0269792937
864691265894089728,28110,459,47,0,0.00247697276
864691265894089728,28110,458,47,0,0.0295853559
864691265894089728,28111,139,108,0,0.024231609
864691265894089728,28112,394,83,0,0.00477678468
864691265894089728,28112,395,83,0,0.0202598553
864691265894089728,28113,401,59,0,0.0274875052
864691265894089984,28114,304,25,0,0.0312525481
864691265894089984,28115,102,121,0,0.00673107058
864691265894089984,28115,103,121,0,0.0140253352
864691265894089984,28116,357,11,0,0.0335463248
864691265894089984,28117,411,88,0,0.0264883246
864691265894089984,28118,527,108,0,0.0242365357
864691265894089984,28119,285,49,0,0.0274708811
864691265894089984,28119,284,49,0,0.00271686376
864691265894090240,28120,466,121,0,0.0207693726
864691265894090496,28121,147,115,0,0.0211305786
864691265894090496,28122,465,67,0,0.0364461727
864691265894090496,28123,356,99,0,0.0226481874
864691265894090496,28124,130,97,0,0.0233765654
864691265894090496,28125,411,99,0,0.0393729284
864691265894090752,28126,520,116,0,0.0211476162
864691265894090752,28127,129,39,0,0.0297932867
864691265894091008,28128,112,56,0,0.0283893831
864691265894091008,28129,282,58,0,0.028230926
864691265894091008,28130,226,38,0,0.0307807848
864691265894091008,28131,71,39,0,0.0301023815
864691265894091008,28132,314,106,0,0.0238548629
864691265894091008,28133,196,121,0,0.0209915284
864691265894091264,28134,460,114,0,0.0153025258
864691265894091264,28134,461,114,0,0.00666177785
864691265894091264,28135,468,5,0,0.0326388218
864691265894091264,28136,477,97,0,0.0234789476
864691265894091264,28137,440,87,0,0.0246280488
864691265894091264,28138,197,119,0,0.0213608928
864691265894091264,28139,321,33,0,0.030472707
864691265894091264,28140,560,122,0,0.0209905095
864691265894091264,28141,26,113,0,0.0230101943
864691265894091520,28142,248,105,0,0.0234210864
