geometry_id,hit_id,channel0,channel1,timestamp,value
1224979373523351040,59857,248,0,0,0.156438351
1224979373523351040,59857,249,0,0,0.156440839
1224979373523351040,59857,250,0,0,0.156438351
1224979373523351040,59857,251,0,0,0.120555207
1224979373523351296,59858,104,7,0,0.121321611
1224979373523351296,59858,105,7,0,0.202097952
1224979373523351296,59858,106,7,0,0.0417245403
1224979373523351552,59859,381,9,0,0.26203537
1224979373523351808,59860,44,9,0,0.200603098
1224979373523351808,59860,43,9,0,0.0659385026
1224979373523352064,59861,79,0,0,0.0764769167
1224979373523352064,59861,80,0,0,0.154164284
1224979373523352064,59861,81,0,0,0.154165521
1224979373523352064,59861,82,0,0,0.152270958
1224979373523352320,59862,352,1,0,0.147915512
1224979373523352320,59862,351,1,0,0.202710286
1224979373523352576,59863,37,0,0,0.100309379
1224979373523352576,59863,36,0,0,0.198495016
1224979373523352576,59863,35,0,0,0.0629757047
1224979373523352576,59864,347,6,0,0.0234989692
1224979373523352576,59864,348,6,0,0.162243232
1224979373523352576,59864,349,6,0,0.111600347
1224979373523352576,59864,349,7,0,0.0506480448
1224979373523352576,59864,350,7,0,0.123108916
1224979373523352832,59865,233,0,0,0.127380878
1224979373523352832,59865,234,0,0,0.148188889
1224979373523352832,59866,394,7,0,0.0195640773
1224979373523352832,59866,395,7,0,0.263709873
1224979373523353088,59867,76,2,0,0.274884939
1224979373523353088,59868,32,6,0,0.273874849
1224979373523355648,59869,8,1,0,0.0725356042
1224979373523355648,59869,9,1,0,0.167108417
1224979373523355648,59869,10,1,0,0.167105764
1224979373523355648,59869,11,1,0,0.0150403138
1224979373523359744,59870,185,7,0,0.0281530209
1224979373523359744,59870,184,7,0,0.180985063
1224979373523359744,59870,183,7,0,0.14361164
1224979373523360512,59871,364,8,0,0.199134797
1224979373523360512,59871,365,8,0,0.146417215
1224979373523363072,59872,345,1,0,0.0231491309
1224979373523363072,59872,346,1,0,0.156967446
1224979373523363072,59872,347,1,0,0.156967446
1224979373523363072,59872,348,1,0,0.156967446
1224979373523363072,59872,349,1,0,0.156972438
1224979373523363072,59872,350,1,0,0.00427041901
1224979373523363584,59873,29,8,0,0.0110287163
1224979373523363584,59873,30,8,0,0.166019291
1224979373523363584,59873,31,8,0,0.166021928
